Date,Name,Year,Letterboxd URI,Rating
2022-01-20,The Father,2020,https://boxd.it/m8Ie,5
2022-01-20,Inception,2010,https://boxd.it/1skk,5
2022-01-21,Once Upon a Time in the West,1968,https://boxd.it/2az4,5
2022-01-23,Split,2016,https://boxd.it/dgSy,4
2022-01-26,Lore,2012,https://boxd.it/41Cs,3.5
2022-02-04,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2022-02-04,Rear Window,1954,https://boxd.it/2a6Q,5
2022-02-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2022-02-04,Ocean's Eleven,2001,https://boxd.it/2aZm,4
