Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-11-12,The Fifth Seal,1976,https://boxd.it/bG9rq5,5,,,2020-01-01
2025-11-12,Blade Runner,1982,https://boxd.it/bG9qNR,,,,2020-01-18
2025-11-12,Harakiri,1962,https://boxd.it/bG9teP,5,,,2020-02-14
2025-11-12,Dog Day Afternoon,1975,https://boxd.it/bG9ufJ,4,,,2020-02-21
2025-11-12,"O Brother, Where Art Thou?",2000,https://boxd.it/bG9CVX,3.5,,,2020-03-22
2025-11-12,To Be or Not to Be,1942,https://boxd.it/bG9Df9,5,,,2020-03-25
2025-11-12,La Jetée,1962,https://boxd.it/bG9meX,4.5,,,2020-04-10
2025-11-12,Corpse Bride,2005,https://boxd.it/bG9VVn,,,,2020-05-05
2025-11-12,The Long Goodbye,1973,https://boxd.it/bG9V57,,,,2020-05-09
2025-11-12,Scarecrow,1973,https://boxd.it/bG9Vil,3.5,,,2020-05-28
2025-11-12,Yojimbo,1961,https://boxd.it/bG9Ok5,4,,,2020-07-16
2025-11-12,The Irishman,2019,https://boxd.it/bG9p6R,,,,2020-09-05
2025-11-12,Uncut Gems,2019,https://boxd.it/bG9oPV,4.5,,,2020-11-20
2025-11-12,His Girl Friday,1940,https://boxd.it/bG9Wk3,4.5,,,2020-11-21
2025-11-12,Another Round,2020,https://boxd.it/bG9o2z,4.5,,,2020-12-09
2025-11-12,Cast Away,2000,https://boxd.it/bG9Yxj,,,,2021-01-02
2025-11-12,In Bruges,2008,https://boxd.it/bG9XHn,,,,2021-01-14
2025-11-12,The Intouchables,2011,https://boxd.it/bG9Ygd,4.5,,,2021-01-29
2025-11-12,First Reformed,2017,https://boxd.it/bGa4ed,4,,,2021-02-15
2025-11-12,Collateral,2004,https://boxd.it/bGa4pb,4,,,2021-03-07
2025-11-12,Escape from Alcatraz,1979,https://boxd.it/bGa44R,3.5,,,2021-03-17
2025-11-12,Death by Hanging,1968,https://boxd.it/bG9Zm7,4.5,,,2021-03-18
2025-11-12,The Third Man,1949,https://boxd.it/bG9Ixx,4.5,,,2021-04-21
2025-11-12,Le Samouraï,1967,https://boxd.it/bG9IIb,4,,,2021-05-07
2025-11-12,Citizen Kane,1941,https://boxd.it/bG9HHh,5,,,2021-05-22
2025-11-12,Sanjuro,1962,https://boxd.it/bG9OyL,4,,,2021-06-18
2025-11-12,Son of Saul,2015,https://boxd.it/bGa0yD,4.5,,,2021-08-12
2025-11-12,Leviathan,2014,https://boxd.it/bGa6q1,4.5,,,2021-08-12
2025-11-12,Mystic River,2003,https://boxd.it/bG9Hkx,4,,,2021-09-10
2025-11-12,Inception,2010,https://boxd.it/bG9PhV,5,,,2021-10-10
