Date,Name,Year,Letterboxd URI
2022-01-20,The Father,2020,https://boxd.it/m8Ie
2022-01-20,Another Round,2020,https://boxd.it/lkba
2022-01-20,Groundhog Day,1993,https://boxd.it/2b3e
2022-01-20,Normal People,2020,https://boxd.it/q2VY
2022-05-31,Dear Comrades!,2020,https://boxd.it/lCs4
2022-05-31,Reservoir Dogs,1992,https://boxd.it/2agc
2022-07-22,The Prince of Egypt,1998,https://boxd.it/1XGQ
2022-07-22,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-07-22,Squid Game,2021,https://boxd.it/x1OG
2022-07-22,My Son,2021,https://boxd.it/saKe
2022-11-07,All Quiet on the Western Front,2022,https://boxd.it/H08
2022-11-23,Compartment No. 6,2021,https://boxd.it/lEty
2022-11-29,Drive My Car,2021,https://boxd.it/sv94
2022-12-09,Before Sunrise,1995,https://boxd.it/2bcU
2022-12-09,Taste of Cherry,1997,https://boxd.it/1m8W
2022-12-09,Aftersun,2022,https://boxd.it/Arw0
2022-12-17,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2022-12-20,Naked,1993,https://boxd.it/1BT4
2023-01-08,Princess Mononoke,1997,https://boxd.it/2b4w
2023-01-17,Whisper of the Heart,1995,https://boxd.it/17uy
2023-02-03,Athena,2022,https://boxd.it/waii
2023-02-03,Dune,2021,https://boxd.it/fA7G
2023-02-03,The Worst Person in the World,2021,https://boxd.it/oyws
2023-02-05,Palm Springs,2020,https://boxd.it/lCXQ
2023-05-13,"Life, and Nothing More…",1992,https://boxd.it/2WEc
2023-05-20,Nope,2022,https://boxd.it/sDCe
2023-05-23,Through the Olive Trees,1994,https://boxd.it/Lx6
2023-06-19,Babylon,2022,https://boxd.it/mM02
2023-07-05,The Green Knight,2021,https://boxd.it/kuy2
2023-08-02,Oppenheimer,2023,https://boxd.it/wUow
2023-08-04,Aloners,2021,https://boxd.it/ujeK
2023-10-11,After Yang,2021,https://boxd.it/lx5a
2023-12-08,Scrapper,2023,https://boxd.it/zht4
2023-12-17,Decision to Leave,2022,https://boxd.it/qp9e
2023-12-17,Plan 75,2022,https://boxd.it/Ac0I
2024-03-15,Revenant,2023,https://boxd.it/HRs8
2024-09-15,Ripley,2024,https://boxd.it/LT5S
2024-09-24,The Promised Land,2023,https://boxd.it/B1hA
2024-10-08,Dune: Part Two,2024,https://boxd.it/pUfA
2025-02-22,The Passion of Joan of Arc,1928,https://boxd.it/29DO
